id,repo_name,github_url,CommitCount,AuthorCount,DaysActive,BusFactorNumber,lone_wolf,radio_silence,org_silo,total_code_smells,total_design_smells,total_impl_smells,in_social_analysis,in_clustering,clustering_outlier,has_bus_factor,url_note
14,Core-Java---Madhura-Anturkar,https://github.com/search?q=Core-Java---Madhura-Anturkar+language:Java&type=repositories,2.0,1.0,0.0,,0.0,1.0,0.0,1263,402,861,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
15,Core-Java-Tutorial-Projects,https://github.com/search?q=Core-Java-Tutorial-Projects+language:Java&type=repositories,4.0,1.0,0.0,,0.0,1.0,0.0,7,1,6,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
16,CoreJava,https://github.com/search?q=CoreJava+language:Java&type=repositories,17.0,2.0,1184.0,,0.0,0.0,0.0,700,136,564,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
17,Defeat-JAVA,https://github.com/search?q=Defeat-JAVA+language:Java&type=repositories,283.0,76.0,438.0,0.2083333333333333,0.0,0.0,0.0,2539,306,2233,1,0,1,1,Resolve via build_repo_urls.py or GitHub search
18,Dr.Know,https://github.com/search?q=Dr.Know+language:Java&type=repositories,18.0,2.0,2.0,,0.0,1.0,0.0,7,2,5,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
19,ELK-Logger,https://github.com/search?q=ELK-Logger+language:Java&type=repositories,28.0,4.0,23.0,-1.0,0.0,0.0,0.0,2,2,0,1,0,1,1,Resolve via build_repo_urls.py or GitHub search
20,GraphSearch,https://github.com/search?q=GraphSearch+language:Java&type=repositories,72.0,2.0,1173.0,,0.0,0.0,0.0,37,7,30,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
21,HapiFhirClientDemo,https://github.com/search?q=HapiFhirClientDemo+language:Java&type=repositories,8.0,3.0,1603.0,,0.0,0.0,0.0,3,1,2,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
22,HapiFhirServiceDemo,https://github.com/search?q=HapiFhirServiceDemo+language:Java&type=repositories,4.0,1.0,2.0,,0.0,1.0,0.0,12,4,8,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
23,HelloWorld,https://github.com/search?q=HelloWorld+language:Java&type=repositories,4.0,2.0,1641.0,1.0,1.0,0.0,0.0,135,44,91,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
24,JAVA,https://github.com/search?q=JAVA+language:Java&type=repositories,3128.0,765.0,3498.0,1.0,1.0,0.0,1.0,1,1,0,1,0,1,1,Resolve via build_repo_urls.py or GitHub search
25,JAVA-SAMPLE-CODES,https://github.com/search?q=JAVA-SAMPLE-CODES+language:Java&type=repositories,42.0,1.0,44.0,,0.0,1.0,0.0,49,18,31,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
26,JAVA_TUTORIAL_PROJECTS,https://github.com/search?q=JAVA_TUTORIAL_PROJECTS+language:Java&type=repositories,6.0,1.0,94.0,,0.0,0.0,0.0,17,3,14,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
27,Java-Appium-Master,https://github.com/search?q=Java-Appium-Master+language:Java&type=repositories,3.0,2.0,0.0,,0.0,1.0,0.0,1,1,0,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
28,Java-Code-Examples,https://github.com/search?q=Java-Code-Examples+language:Java&type=repositories,20.0,1.0,32.0,,0.0,1.0,0.0,36,10,26,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
29,Java-Code-Samples,https://github.com/search?q=Java-Code-Samples+language:Java&type=repositories,14.0,3.0,94.0,,0.0,1.0,0.0,19,10,9,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
30,Java-Demo-Application,https://github.com/search?q=Java-Demo-Application+language:Java&type=repositories,155.0,2.0,65.0,,0.0,0.0,0.0,335,14,321,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
31,Java-Demo-Application-with-Spring-Boot-and-Security,https://github.com/search?q=Java-Demo-Application-with-Spring-Boot-and-Security+language:Java&type=repositories,3.0,1.0,0.0,,0.0,1.0,0.0,45,18,27,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
32,Java-Examples,https://github.com/search?q=Java-Examples+language:Java&type=repositories,83.0,1.0,2551.0,0.5,0.0,0.0,0.0,2,2,0,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
33,Java-Learning,https://github.com/search?q=Java-Learning+language:Java&type=repositories,87.0,3.0,2160.0,0.9473684210526316,1.0,0.0,0.0,6,1,5,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
34,Java-Sample-Code,https://github.com/search?q=Java-Sample-Code+language:Java&type=repositories,2.0,2.0,1.0,,0.0,1.0,0.0,4,2,2,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
35,Java-Samples,https://github.com/search?q=Java-Samples+language:Java&type=repositories,368.0,29.0,4248.0,1.0,1.0,0.0,1.0,15,14,1,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
36,Java-Tutorial,https://github.com/search?q=Java-Tutorial+language:Java&type=repositories,151.0,5.0,2588.0,0.9285714285714286,1.0,0.0,0.0,19,3,16,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
37,Java-Tutorial-Projects,https://github.com/search?q=Java-Tutorial-Projects+language:Java&type=repositories,1.0,1.0,0.0,,0.0,1.0,0.0,48,1,47,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
38,Java-application,https://github.com/search?q=Java-application+language:Java&type=repositories,5.0,2.0,678.0,,0.0,0.0,0.0,2,2,0,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
39,Java8,https://github.com/search?q=Java8+language:Java&type=repositories,17.0,1.0,2052.0,,0.0,1.0,0.0,174,64,110,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
40,JavaApp,https://github.com/search?q=JavaApp+language:Java&type=repositories,33.0,5.0,1841.0,,0.0,1.0,1.0,16,13,3,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
41,JavaBasicTutorial,https://github.com/search?q=JavaBasicTutorial+language:Java&type=repositories,9.0,1.0,45.0,,0.0,1.0,0.0,104,12,92,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
42,JavaCode,https://github.com/search?q=JavaCode+language:Java&type=repositories,4.0,2.0,907.0,1.0,1.0,0.0,0.0,17,10,7,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
43,JavaCodeSamples,https://github.com/search?q=JavaCodeSamples+language:Java&type=repositories,11.0,2.0,1419.0,,0.0,0.0,0.0,3,2,1,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
44,JavaCodeSnippets,https://github.com/search?q=JavaCodeSnippets+language:Java&type=repositories,1.0,1.0,0.0,,0.0,1.0,0.0,399,139,260,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
45,JavaDemoApplication,https://github.com/search?q=JavaDemoApplication+language:Java&type=repositories,11.0,3.0,399.0,,0.0,1.0,1.0,8,4,4,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
46,JavaDemoJenkins,https://github.com/search?q=JavaDemoJenkins+language:Java&type=repositories,2.0,1.0,0.0,,0.0,1.0,0.0,1,1,0,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
47,JavaExamples,https://github.com/search?q=JavaExamples+language:Java&type=repositories,58.0,2.0,119.0,,0.0,1.0,0.0,181,25,156,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
48,JavaExamplesInterviewQuestions,https://github.com/search?q=JavaExamplesInterviewQuestions+language:Java&type=repositories,22.0,2.0,0.0,,0.0,1.0,0.0,46,18,28,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
49,JavaLearningTutorial,https://github.com/search?q=JavaLearningTutorial+language:Java&type=repositories,1.0,1.0,0.0,,0.0,1.0,0.0,18,15,3,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
50,JavaPractice,https://github.com/search?q=JavaPractice+language:Java&type=repositories,417.0,2.0,1095.0,,0.0,0.0,0.0,91,25,66,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
51,JavaProject1,https://github.com/search?q=JavaProject1+language:Java&type=repositories,1.0,1.0,0.0,,0.0,1.0,0.0,1,1,0,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
52,JavaRepository,https://github.com/search?q=JavaRepository+language:Java&type=repositories,1664.0,20.0,187.0,,0.0,0.0,0.0,6,2,4,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
53,JavaSampleCode,https://github.com/search?q=JavaSampleCode+language:Java&type=repositories,17.0,3.0,90.0,,0.0,1.0,0.0,183,65,118,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
54,JavaSampleCodeForPull,https://github.com/search?q=JavaSampleCodeForPull+language:Java&type=repositories,1.0,1.0,0.0,,0.0,1.0,0.0,301,61,240,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
55,JavaSampleCodeIS2104,https://github.com/search?q=JavaSampleCodeIS2104+language:Java&type=repositories,1.0,1.0,0.0,,0.0,1.0,0.0,130,52,78,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
56,JavaSampleCodes,https://github.com/search?q=JavaSampleCodes+language:Java&type=repositories,20.0,2.0,1152.0,,0.0,1.0,0.0,1,1,0,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
57,JavaSamples,https://github.com/search?q=JavaSamples+language:Java&type=repositories,18.0,2.0,238.0,,0.0,1.0,0.0,0,0,0,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
58,JavaSamplesCode,https://github.com/search?q=JavaSamplesCode+language:Java&type=repositories,2.0,1.0,1.0,,0.0,1.0,0.0,13,5,8,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
59,JavaSnippets,https://github.com/search?q=JavaSnippets+language:Java&type=repositories,50.0,2.0,47.0,,0.0,1.0,0.0,2,1,1,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
60,JavaTutorial,https://github.com/search?q=JavaTutorial+language:Java&type=repositories,190.0,9.0,2066.0,0.9777777777777776,1.0,0.0,0.0,2,1,1,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
61,JavaTutorialProject,https://github.com/search?q=JavaTutorialProject+language:Java&type=repositories,1.0,1.0,0.0,,0.0,1.0,0.0,17,6,11,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
62,JavaTutorialProjects,https://github.com/search?q=JavaTutorialProjects+language:Java&type=repositories,3.0,1.0,0.0,,0.0,1.0,0.0,114,94,20,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
63,JavaTutorialProjectsGuidedPersonal,https://github.com/search?q=JavaTutorialProjectsGuidedPersonal+language:Java&type=repositories,1.0,1.0,0.0,,0.0,1.0,0.0,107,2,105,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
64,JavaTutorialsProject,https://github.com/search?q=JavaTutorialsProject+language:Java&type=repositories,1.0,1.0,0.0,,0.0,1.0,0.0,71,24,47,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
65,JavaWithMosh,https://github.com/search?q=JavaWithMosh+language:Java&type=repositories,10.0,1.0,7.0,,0.0,1.0,0.0,13,2,11,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
66,Java_MVVM_with_Swing_and_RxJava_Examples,https://github.com/search?q=Java_MVVM_with_Swing_and_RxJava_Examples+language:Java&type=repositories,112.0,2.0,440.0,0.6,0.0,0.0,0.0,438,64,374,1,0,1,1,Resolve via build_repo_urls.py or GitHub search
67,Java_SampleCode,https://github.com/search?q=Java_SampleCode+language:Java&type=repositories,3.0,2.0,31.0,,0.0,1.0,0.0,289,36,253,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
68,Java_Sample_Code,https://github.com/search?q=Java_Sample_Code+language:Java&type=repositories,,,,,,,,252,24,228,0,0,0,0,Resolve via build_repo_urls.py or GitHub search
69,Java_Sample_Codes,https://github.com/search?q=Java_Sample_Codes+language:Java&type=repositories,2.0,1.0,6.0,,0.0,0.0,0.0,188,43,145,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
70,Java_Tutorials-Projects,https://github.com/search?q=Java_Tutorials-Projects+language:Java&type=repositories,6.0,1.0,16.0,,0.0,1.0,0.0,739,69,670,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
71,KeyAuth-JAVA-api,https://github.com/search?q=KeyAuth-JAVA-api+language:Java&type=repositories,11.0,1.0,111.0,,0.0,0.0,0.0,31,1,30,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
72,KodlamaIoJavaTutorialProjectsPart1Eclipse,https://github.com/search?q=KodlamaIoJavaTutorialProjectsPart1Eclipse+language:Java&type=repositories,7.0,2.0,2.0,,0.0,1.0,0.0,88,17,71,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
73,KodlamaIoJavaTutorialProjectsPart1Intellij,https://github.com/search?q=KodlamaIoJavaTutorialProjectsPart1Intellij+language:Java&type=repositories,2.0,2.0,0.0,,0.0,1.0,0.0,95,17,78,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
74,MLE5109-Course-samples,https://github.com/search?q=MLE5109-Course-samples+language:Java&type=repositories,23.0,1.0,72.0,,0.0,1.0,0.0,190,87,103,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
75,MasteringJava,https://github.com/search?q=MasteringJava+language:Java&type=repositories,85.0,1.0,132.0,,0.0,1.0,0.0,352,154,198,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
76,MipSDK-File-Java-Basic,https://github.com/search?q=MipSDK-File-Java-Basic+language:Java&type=repositories,41.0,6.0,1298.0,1.0,1.0,0.0,1.0,7,4,3,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
77,Moxtra-Java-Sample-Code,https://github.com/search?q=Moxtra-Java-Sample-Code+language:Java&type=repositories,6.0,2.0,0.0,,0.0,1.0,0.0,16,4,12,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
78,MyJavaNLayerTrials,https://github.com/search?q=MyJavaNLayerTrials+language:Java&type=repositories,5.0,1.0,595.0,,0.0,1.0,0.0,9,6,3,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
79,MyJavaTutorialProject,https://github.com/search?q=MyJavaTutorialProject+language:Java&type=repositories,2.0,1.0,0.0,,0.0,1.0,0.0,113,13,100,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
80,Nick_JavaSampleCode,https://github.com/search?q=Nick_JavaSampleCode+language:Java&type=repositories,1.0,1.0,0.0,,0.0,1.0,0.0,143,30,113,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
81,OpenPgp-BounceCastle-Example,https://github.com/search?q=OpenPgp-BounceCastle-Example+language:Java&type=repositories,6.0,2.0,1166.0,0.75,0.0,0.0,0.0,16,1,15,1,0,1,1,Resolve via build_repo_urls.py or GitHub search
82,Proj11x,https://github.com/search?q=Proj11x+language:Java&type=repositories,1.0,1.0,0.0,,0.0,1.0,0.0,4,4,0,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
83,REST-API-Sample,https://github.com/search?q=REST-API-Sample+language:Java&type=repositories,3.0,2.0,1500.0,,0.0,0.0,0.0,21,4,17,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
84,RssDigesterWithCouchbase,https://github.com/search?q=RssDigesterWithCouchbase+language:Java&type=repositories,9.0,2.0,0.0,,0.0,1.0,0.0,8,3,5,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
85,RxJavaDemoApplication,https://github.com/search?q=RxJavaDemoApplication+language:Java&type=repositories,5.0,1.0,147.0,,0.0,1.0,0.0,112,27,85,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
86,SomeCode,https://github.com/search?q=SomeCode+language:Java&type=repositories,3.0,1.0,1.0,,0.0,1.0,0.0,11,6,5,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
87,SparkJavaExamples,https://github.com/search?q=SparkJavaExamples+language:Java&type=repositories,1.0,1.0,0.0,,0.0,1.0,0.0,87,5,82,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
88,SpringBoot-Java-Demo-application,https://github.com/search?q=SpringBoot-Java-Demo-application+language:Java&type=repositories,3.0,1.0,0.0,,0.0,1.0,0.0,10,6,4,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
89,TA-Lib-Java-Examples,https://github.com/search?q=TA-Lib-Java-Examples+language:Java&type=repositories,4.0,3.0,1302.0,0.75,0.0,0.0,0.0,4,4,0,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
90,TensorFlow-Java-Examples,https://github.com/search?q=TensorFlow-Java-Examples+language:Java&type=repositories,4.0,2.0,0.0,,0.0,1.0,0.0,2,1,1,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
91,TestProject,https://github.com/search?q=TestProject+language:Java&type=repositories,1.0,1.0,0.0,,0.0,1.0,0.0,2,2,0,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
92,ThinkingInJava,https://github.com/search?q=ThinkingInJava+language:Java&type=repositories,68.0,2.0,305.0,,0.0,1.0,0.0,1594,1051,543,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
93,VLC-SCFS004-24-0650,https://github.com/search?q=VLC-SCFS004-24-0650+language:Java&type=repositories,138.0,1.0,21.0,,0.0,1.0,0.0,347,86,261,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
94,VeraDemoCircleCI,https://github.com/search?q=VeraDemoCircleCI+language:Java&type=repositories,117.0,4.0,1155.0,,0.0,1.0,0.0,77,3,74,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
95,ViniLibJava,https://github.com/search?q=ViniLibJava+language:Java&type=repositories,9.0,1.0,0.0,,0.0,1.0,0.0,5,2,3,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
96,WebSocket-Demo,https://github.com/search?q=WebSocket-Demo+language:Java&type=repositories,,,,,,,,1,1,0,0,0,0,0,Resolve via build_repo_urls.py or GitHub search
97,_100DaysOfCode,https://github.com/search?q=_100DaysOfCode+language:Java&type=repositories,35.0,2.0,399.0,,0.0,1.0,0.0,58,8,50,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
98,akka-java-examples,https://github.com/search?q=akka-java-examples+language:Java&type=repositories,12.0,1.0,33.0,0.8333333333333334,0.0,0.0,0.0,35,18,17,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
99,alfresco-api-java-examples,https://github.com/search?q=alfresco-api-java-examples+language:Java&type=repositories,17.0,2.0,1325.0,0.5,0.0,0.0,0.0,106,93,13,1,0,1,1,Resolve via build_repo_urls.py or GitHub search
100,amazon-kinesis-analytics-beam-taxi-consumer,https://github.com/search?q=amazon-kinesis-analytics-beam-taxi-consumer+language:Java&type=repositories,83.0,9.0,1588.0,0.6666666666666666,0.0,0.0,0.0,29,11,18,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
101,amazon-kinesis-analytics-streaming-etl,https://github.com/search?q=amazon-kinesis-analytics-streaming-etl+language:Java&type=repositories,77.0,8.0,1310.0,0.8333333333333334,0.0,0.0,1.0,17,1,16,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
102,amazon-kinesis-data-analytics-flink-benchmarking-utility,https://github.com/search?q=amazon-kinesis-data-analytics-flink-benchmarking-utility+language:Java&type=repositories,14.0,7.0,1062.0,1.0,1.0,0.0,1.0,33,4,29,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
103,amazon-translate-pdf,https://github.com/search?q=amazon-translate-pdf+language:Java&type=repositories,37.0,6.0,1036.0,,0.0,0.0,0.0,25,4,21,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
104,amenity-reservation,https://github.com/search?q=amenity-reservation+language:Java&type=repositories,9.0,2.0,535.0,,0.0,1.0,0.0,11,8,3,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
105,amv-trafficsoft-restclient-demo,https://github.com/search?q=amv-trafficsoft-restclient-demo+language:Java&type=repositories,22.0,2.0,287.0,,0.0,1.0,0.0,30,10,20,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
106,angular-demo,https://github.com/search?q=angular-demo+language:Java&type=repositories,,,,,,,,0,0,0,0,0,0,0,Resolve via build_repo_urls.py or GitHub search
107,api,https://github.com/search?q=api+language:Java&type=repositories,64.0,5.0,664.0,0.9782608695652174,1.0,0.0,0.0,63,47,16,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
108,appium-java-examples,https://github.com/search?q=appium-java-examples+language:Java&type=repositories,23.0,1.0,1024.0,0.5,0.0,0.0,0.0,99,20,79,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
109,auth0-full-stack-java-example,https://github.com/search?q=auth0-full-stack-java-example+language:Java&type=repositories,71.0,1.0,211.0,0.75,0.0,0.0,0.0,273,76,197,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
110,aws-amplify-example-recipe-app-react-native,https://github.com/search?q=aws-amplify-example-recipe-app-react-native+language:Java&type=repositories,57.0,6.0,875.0,,0.0,0.0,0.0,3,2,1,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
111,aws-athena-udfs-textanalytics,https://github.com/search?q=aws-athena-udfs-textanalytics+language:Java&type=repositories,74.0,8.0,1103.0,0.75,0.0,0.0,0.0,78,2,76,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
112,aws-cognito-java-desktop-app,https://github.com/search?q=aws-cognito-java-desktop-app+language:Java&type=repositories,39.0,15.0,2368.0,0.9047619047619048,1.0,0.0,0.0,166,6,160,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
113,aws-lambda-api-java-example,https://github.com/search?q=aws-lambda-api-java-example+language:Java&type=repositories,2.0,1.0,0.0,,0.0,1.0,0.0,2,1,1,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
114,azure-cafe,https://github.com/search?q=azure-cafe+language:Java&type=repositories,282.0,4.0,2100.0,,0.0,0.0,0.0,9,2,7,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
115,azure-cosmos-cassandra-extensions-java-sample,https://github.com/search?q=azure-cosmos-cassandra-extensions-java-sample+language:Java&type=repositories,33.0,4.0,420.0,,0.0,1.0,0.0,15,2,13,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
116,azure-cosmos-cassandra-extensions-java-sample-v4,https://github.com/search?q=azure-cosmos-cassandra-extensions-java-sample-v4+language:Java&type=repositories,53.0,6.0,492.0,-0.5,0.0,0.0,0.0,11,1,10,1,0,1,1,Resolve via build_repo_urls.py or GitHub search
117,azure-functions-samples-java,https://github.com/search?q=azure-functions-samples-java+language:Java&type=repositories,68.0,14.0,1658.0,1.0,1.0,0.0,1.0,80,43,37,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
118,azure-search-java-samples,https://github.com/search?q=azure-search-java-samples+language:Java&type=repositories,168.0,13.0,2498.0,,0.0,1.0,1.0,100,20,80,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
119,azure-spring-data-cosmos-java-sql-api-samples,https://github.com/search?q=azure-spring-data-cosmos-java-sql-api-samples+language:Java&type=repositories,42.0,9.0,1440.0,1.0,1.0,0.0,1.0,8,2,6,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
120,azure4j-blog-samples,https://github.com/search?q=azure4j-blog-samples+language:Java&type=repositories,15.0,1.0,20.0,,0.0,1.0,0.0,72,25,47,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
121,azurejava,https://github.com/search?q=azurejava+language:Java&type=repositories,2.0,2.0,0.0,,0.0,1.0,0.0,3,2,1,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
122,basyx-java-examples,https://github.com/search?q=basyx-java-examples+language:Java&type=repositories,281.0,16.0,860.0,0.8333333333333334,0.0,0.0,0.0,597,261,336,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
123,bazel-java,https://github.com/search?q=bazel-java+language:Java&type=repositories,52.0,2.0,2755.0,0.3333333333333333,0.0,0.0,0.0,33,18,15,1,0,1,1,Resolve via build_repo_urls.py or GitHub search
124,cap-java-bookstore-app,https://github.com/search?q=cap-java-bookstore-app+language:Java&type=repositories,5.0,1.0,13.0,,0.0,1.0,0.0,1,1,0,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
125,clean-architecture-example,https://github.com/search?q=clean-architecture-example+language:Java&type=repositories,125.0,3.0,44.0,0.8421052631578947,0.0,0.0,0.0,222,53,169,1,0,1,1,Resolve via build_repo_urls.py or GitHub search
126,cleanarch,https://github.com/search?q=cleanarch+language:Java&type=repositories,8.0,2.0,339.0,0.6,0.0,0.0,0.0,81,37,44,1,0,1,1,Resolve via build_repo_urls.py or GitHub search
127,clickstream-consumer-for-apache-kafka,https://github.com/search?q=clickstream-consumer-for-apache-kafka+language:Java&type=repositories,46.0,9.0,1812.0,,0.0,0.0,0.0,205,13,192,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
